Individual,Species,Family,Month,Year,Location,Collector,Sex,Wing_Length,Forewing_Area,Abdomen_Width,Abdomen_Length,Lattitude_Group,Temperature_District,Temperature_Before,Temperature_Of,Ecology,Voltinism,,
23,small skipper,Hesperiidae,,1890,Dorset,HS Sellon,female,13.023,58.89,2.107,5.434,1,England S,11.61,11.295,GS,Univoltine,,
29,small skipper,Hesperiidae,August,1890,Hampshire,Chitty,female,13.701,69.184,2.891,7.102,2,England S,11.61,11.295,GS,Univoltine,,
30,small skipper,Hesperiidae,August,1890,Hampshire,Chitty,female,13.476,66.878,2.871,6.545,2,England S,11.61,11.295,GS,Univoltine,,
42,small skipper,Hesperiidae,August,1890,Hampshire,Chitty,female,13.361,64.375,2.829,6.058,2,England S,11.61,11.295,GS,Univoltine,,
43,grizzled skipper,Hesperiidae,May,1891,Devon,Chitty,,11.117,46.14,2.419,4.532,1,England S,11.295,10.58,GG,Univoltine,,
7,small skipper,Hesperiidae,July,1891,Dorset,Arthur Sidgwick,male,12.542,59.082,1.632,5.763,1,England S,11.295,10.58,GS,Univoltine,,
8,small skipper,Hesperiidae,July,1891,Dorset,Arthur Sidgwick,female,12.403,61.414,2.498,5.905,1,England S,11.295,10.58,GS,Univoltine,,
9,small skipper,Hesperiidae,July,1891,Hampshire,HS Sellon,female,12.671,60.851,2.975,5.038,2,England S,11.295,10.58,GS,Univoltine,,
10,small skipper,Hesperiidae,July,1891,Hampshire,HS Sellon,male,12.862,56.812,2.085,6.731,2,England S,11.295,10.58,GS,Univoltine,,
17,small skipper,Hesperiidae,July,1891,Dorset,Arthur Sidgwick,male,12.847,65.831,2.271,6.174,1,England S,11.295,10.58,GS,Univoltine,,
19,small skipper,Hesperiidae,July,1891,Hampshire,HS Sellon,female,12.509,56.631,2.26,5.832,2,England S,11.295,10.58,GS,Univoltine,,
25,small skipper,Hesperiidae,July,1891,Dorset,Arthur Sidgwick,male,13.193,61.698,2.252,6.567,1,England S,11.295,10.58,GS,Univoltine,,
26,small skipper,Hesperiidae,August,1891,Dorset,Arthur Sidgwick,female,13.919,69.37,2.829,6.277,1,England S,11.295,10.58,GS,Univoltine,,
28,small skipper,Hesperiidae,July,1891,Hampshire,HS Sellon,male,11.893,54.76,1.982,6.504,2,England S,11.295,10.58,GS,Univoltine,,
63,silver spotted skipper,Hesperiidae,August,1892,Oxfordshire,,male,12.434,50.763,2.26,5.558,2,England S,10.58,10.755,SS,Univoltine,,
65,silver spotted skipper,Hesperiidae,August,1892,Dorset,,male,14.093,62.266,2.332,5.612,1,England S,10.58,10.755,SS,Univoltine,,
66,silver spotted skipper,Hesperiidae,August,1892,Dorset,,female,14.635,72.874,3.17,6.687,1,England S,10.58,10.755,SS,Univoltine,,
43,dingy skipper,Hesperiidae,May,1893,Surrey,,,11.212,51.022,2.031,5.594,2,England S,10.755,13.29,GS,Univoltine,,
57,grizzled skipper,Hesperiidae,April,1893,Hampshire,FC Woodforde,,11.029,47.755,2.152,4.227,2,England S,10.755,13.29,GG,Univoltine,,
58,grizzled skipper,Hesperiidae,April,1893,Hampshire,FC Woodforde,,10.747,44.459,1.988,5.004,2,England S,10.755,13.29,GG,Univoltine,,
60,grizzled skipper,Hesperiidae,April,1893,Oxfordshire,FA Dixey,,11.162,48.068,2.17,5.238,2,England S,10.755,13.29,GG,Univoltine,,
87,grizzled skipper,Hesperiidae,May,1893,Essex,RH Heath,,11.172,45.596,1.968,4.918,2,England S,10.755,13.29,GG,Univoltine,,
48,small skipper,Hesperiidae,,1893,Berkshire,HR Smith,male,11.847,51.9,1.88,6.629,2,England S,10.755,13.29,GS,Univoltine,,
79,grizzled skipper,Hesperiidae,May,1895,Surrey,H Goss,,11.382,51.202,2.115,4.787,2,England S,11.585,11.89,GG,Univoltine,,
15,silver spotted skipper,Hesperiidae,August,1895,Berkshire,HR Smith,male,12.84,60.662,2.125,5.865,2,England S,11.585,11.89,SS,Univoltine,,
16,silver spotted skipper,Hesperiidae,August,1895,Berkshire,HR Smith,male,12.966,59.901,2.029,5.374,2,England S,11.585,11.89,SS,Univoltine,,
17,silver spotted skipper,Hesperiidae,August,1895,Berkshire,HR Smith,female,14.252,77.013,3.683,8.193,2,England S,11.585,11.89,SS,Univoltine,,
19,silver spotted skipper,Hesperiidae,August,1895,Surrey,H Goss,male,11.978,55.106,2.424,6.71,2,England S,11.585,11.89,SS,Univoltine,,
20,silver spotted skipper,Hesperiidae,August,1895,Surrey,H Goss,male,13.21,58.135,2.349,5.224,2,England S,11.585,11.89,SS,Univoltine,,
21,silver spotted skipper,Hesperiidae,August,1895,Surrey,H Goss,female,13.978,71.052,2.913,7.253,2,England S,11.585,11.89,SS,Univoltine,,
22,silver spotted skipper,Hesperiidae,August,1895,Surrey,H Goss,female,13.893,66.478,3.232,5.637,2,England S,11.585,11.89,SS,Univoltine,,
25,silver spotted skipper,Hesperiidae,August,1895,Berkshire,Meldola,female,15.346,77.923,3.138,7.855,2,England S,11.585,11.89,SS,Univoltine,,
28,silver spotted skipper,Hesperiidae,August,1895,Surrey,H Goss,female,14.151,75.923,3.514,7.292,2,England S,11.585,11.89,SS,Univoltine,,
29,silver spotted skipper,Hesperiidae,August,1895,Surrey,H Goss,female,13.777,71.29,3.12,6.633,2,England S,11.585,11.89,SS,Univoltine,,
43,silver spotted skipper,Hesperiidae,August,1895,Surrey,HR Smith,male,13.84,61.911,2.292,6.43,2,England S,11.585,11.89,SS,Univoltine,,
61,grizzled skipper,Hesperiidae,May,1896,Oxfordshire,WG Pogson Smith,,11.051,47.125,1.893,4.407,2,England S,11.89,12.455,GG,Univoltine,,
83,grizzled skipper,Hesperiidae,May,1896,Oxfordshire,Nevil V Sidgwick,,11.13,44.049,1.984,4.262,2,England S,11.89,12.455,GG,Univoltine,,
84,grizzled skipper,Hesperiidae,May,1896,Oxfordshire,Nevil V Sidgwick,,11.411,51.083,1.968,4.82,2,England S,11.89,12.455,GG,Univoltine,,
13,small skipper,Hesperiidae,July,1896,Devon,Nevil V Sidgwick,male,12.794,60.115,1.962,5.905,1,England S,11.89,12.455,GS,Univoltine,,
27,small skipper,Hesperiidae,July,1896,Oxfordshire,Arthur Sidgwick,male,12.334,55.687,2.168,6.297,2,England S,11.89,12.455,GS,Univoltine,,
40,small skipper,Hesperiidae,July,1896,Oxfordshire,Arthur Sidgwick,female,13.492,66.94,2.52,6.506,2,England S,11.89,12.455,GS,Univoltine,,
8,dingy skipper,Hesperiidae,May,1897,West Sussex,,,12.191,59.889,2.101,5.923,2,England S,12.455,12.03,GS,Univoltine,,
9,dingy skipper,Hesperiidae,May,1897,West Sussex,,,12.302,61.569,2.083,5.096,2,England S,12.455,12.03,GS,Univoltine,,
10,dingy skipper,Hesperiidae,May,1897,West Sussex,,,12.135,55.751,2.203,5.473,2,England S,12.455,12.03,GS,Univoltine,,
85,grizzled skipper,Hesperiidae,May,1897,Oxfordshire,Nevil V Sidgwick,,12.198,56.991,2.246,4.51,2,England S,12.455,12.03,GG,Univoltine,,
2,silver spotted skipper,Hesperiidae,August,1897,Berkshire,AH Hamm,male,12.199,57.46,2.406,6.464,2,England S,12.455,12.03,SS,Univoltine,,
3,silver spotted skipper,Hesperiidae,August,1897,Berkshire,AH Hamm,male,14.302,67.56,2.574,5.675,2,England S,12.455,12.03,SS,Univoltine,,
4,silver spotted skipper,Hesperiidae,August,1897,Berkshire,AH Hamm,male,13.63,65.232,2.763,5.693,2,England S,12.455,12.03,SS,Univoltine,,
5,silver spotted skipper,Hesperiidae,August,1897,Berkshire,AH Hamm,male,13.516,64.32,2.65,6.182,2,England S,12.455,12.03,SS,Univoltine,,
6,silver spotted skipper,Hesperiidae,August,1897,Berkshire,AH Hamm,male,12.432,52.286,2.199,4.345,2,England S,12.455,12.03,SS,Univoltine,,
7,silver spotted skipper,Hesperiidae,August,1897,Berkshire,AH Hamm,female,15.053,81.647,3.007,7.31,2,England S,12.455,12.03,SS,Univoltine,,
10,silver spotted skipper,Hesperiidae,August,1897,Berkshire,AH Hamm,male,12.837,63.198,2.443,6.107,2,England S,12.455,12.03,SS,Univoltine,,
11,silver spotted skipper,Hesperiidae,August,1897,Berkshire,AH Hamm,male,13.073,64.621,2.782,5.863,2,England S,12.455,12.03,SS,Univoltine,,
12,silver spotted skipper,Hesperiidae,August,1897,Berkshire,AH Hamm,male,14.063,66.087,2.65,5.375,2,England S,12.455,12.03,SS,Univoltine,,
13,silver spotted skipper,Hesperiidae,August,1897,Berkshire,AH Hamm,male,13.069,60.257,2.443,5.581,2,England S,12.455,12.03,SS,Univoltine,,
14,silver spotted skipper,Hesperiidae,August,1897,Berkshire,AH Hamm,female,15.226,80.599,3.364,6.636,2,England S,12.455,12.03,SS,Univoltine,,
18,silver spotted skipper,Hesperiidae,August,1897,Berkshire,AH Hamm,male,13.707,59.803,2.762,6.375,2,England S,12.455,12.03,SS,Univoltine,,
26,silver spotted skipper,Hesperiidae,August,1897,Berkshire,AH Hamm,male,14.61,71.056,2.145,5.487,2,England S,12.455,12.03,SS,Univoltine,,
27,silver spotted skipper,Hesperiidae,August,1897,Berkshire,AH Hamm,male,13.602,60.282,2.537,6.822,2,England S,12.455,12.03,SS,Univoltine,,
35,silver spotted skipper,Hesperiidae,August,1897,Berkshire,AH Hamm,female,15.638,83.514,4.115,7.142,2,England S,12.455,12.03,SS,Univoltine,,
3,small skipper,Hesperiidae,August,1897,Devon,FA Dixey,female,14.038,65.413,2.011,5.517,1,England S,12.455,12.03,GS,Univoltine,,
18,small skipper,Hesperiidae,July,1897,Oxfordshire,Arthur Sidgwick,male,12.42,60.322,2.209,7.681,2,England S,12.455,12.03,GS,Univoltine,,
39,small skipper,Hesperiidae,July,1897,Oxfordshire,Nevil V Sidgwick,male,12.974,57.995,1.817,6.876,2,England S,12.455,12.03,GS,Univoltine,,
49,small skipper,Hesperiidae,July,1897,Oxfordshire,Nevil V Sidgwick,female,12.582,55.64,2.354,6.113,2,England S,12.455,12.03,GS,Univoltine,,
50,small skipper,Hesperiidae,July,1897,Oxfordshire,Arthur Sidgwick,female,13.442,62.781,3.159,6.545,2,England S,12.455,12.03,GS,Univoltine,,
36,silver spotted skipper,Hesperiidae,August,1898,Surrey,WG Pogson Smith,female,15.422,80.647,3.383,6.314,2,England S,12.03,11.41,SS,Univoltine,,
44,silver spotted skipper,Hesperiidae,April,1898,Surrey,WG Pogson Smith,female,13.414,61.676,2.95,5.092,2,England S,12.03,11.41,SS,Univoltine,,
55,silver spotted skipper,Hesperiidae,August,1898,Surrey,Nevil V Sidgwick,female,13.507,62.708,2.481,5.321,2,England S,12.03,11.41,SS,Univoltine,,
56,silver spotted skipper,Hesperiidae,August,1898,Surrey,Nevil V Sidgwick,female,14.184,67.774,3.025,6.277,2,England S,12.03,11.41,SS,Univoltine,,
35,dingy skipper,Hesperiidae,June,1899,Hampshire,,,11.745,51.073,1.962,3.786,2,England S,11.41,12.28,GS,Univoltine,,
36,dingy skipper,Hesperiidae,June,1899,Hampshire,,,12.536,59.036,1.877,4.973,2,England S,11.41,12.28,GS,Univoltine,,
39,dingy skipper,Hesperiidae,June,1899,Hampshire,,,12.778,62.031,2.169,4.269,2,England S,11.41,12.28,GS,Univoltine,,
6,small skipper,Hesperiidae,July,1899,Dorset,WG Pogson Smith,female,12.865,56.919,2.602,5.678,1,England S,11.41,12.28,GS,Univoltine,,
15,small skipper,Hesperiidae,July,1899,Dorset,WG Pogson Smith,female,13.958,62.193,2.643,6.216,1,England S,11.41,12.28,GS,Univoltine,,
24,small skipper,Hesperiidae,July,1899,Dorset,WG Pogson Smith,female,13.512,72.251,2.48,6.609,1,England S,11.41,12.28,GS,Univoltine,,
24,dingy skipper,Hesperiidae,May,1900,Buckinghamshire,HRB,,12.35,60.366,2.152,5.562,2,England S,12.28,11.565,GS,Univoltine,,
30,dingy skipper,Hesperiidae,June,1900,Buckinghamshire,HRB,,12.85,63.047,1.928,4.841,2,England S,12.28,11.565,GS,Univoltine,,
32,dingy skipper,Hesperiidae,May,1900,Buckinghamshire,HRB,,12.366,60.463,1.894,4.631,2,England S,12.28,11.565,GS,Univoltine,,
70,grizzled skipper,Hesperiidae,May,1900,Oxfordshire,AH Hamm,,11.53,51.319,2.246,5.18,2,England S,12.28,11.565,GG,Univoltine,,
76,grizzled skipper,Hesperiidae,May,1900,Oxfordshire,AH Hamm,,11.561,52.556,2.311,4.672,2,England S,12.28,11.565,GG,Univoltine,,
82,grizzled skipper,Hesperiidae,June,1900,Surrey,WM Geldart,,12.208,53.541,2.46,4.836,2,England S,12.28,11.565,GG,Univoltine,,
50,silver spotted skipper,Hesperiidae,August,1900,Surrey,WM Geldart,male,13.153,61.081,2.142,6.053,2,England S,12.28,11.565,SS,Univoltine,,
44,small skipper,Hesperiidae,July,1900,Isle of Wight,Giles Dixey,male,12.865,56.324,2.003,6.132,1,England S,12.28,11.565,GS,Univoltine,,
45,small skipper,Hesperiidae,August,1900,Surrey,WM Geldart,female,13.274,64.571,2.42,5.286,2,England S,12.28,11.565,GS,Univoltine,,
25,dingy skipper,Hesperiidae,May,1901,Buckinghamshire,HRB,,12.821,62.344,2.134,4.323,2,England S,11.565,11.825,GS,Univoltine,,
29,dingy skipper,Hesperiidae,May,1901,Buckinghamshire,HRB,,12.543,60.674,2.151,4.478,2,England S,11.565,11.825,GS,Univoltine,,
31,dingy skipper,Hesperiidae,May,1901,Buckinghamshire,HRB,,11.808,53.27,2.05,4.546,2,England S,11.565,11.825,GS,Univoltine,,
62,grizzled skipper,Hesperiidae,May,1901,Oxfordshire,WG Pogson Smith,,11.959,53.397,2.513,4.602,2,England S,11.565,11.825,GG,Univoltine,,
71,grizzled skipper,Hesperiidae,May,1901,Oxfordshire,AH Hamm,,11.225,49.49,2.197,5.165,2,England S,11.565,11.825,GG,Univoltine,,
75,grizzled skipper,Hesperiidae,May,1901,Hampshire,Meldola,,11.144,48.913,2.016,5.051,2,England S,11.565,11.825,GG,Univoltine,,
77,grizzled skipper,Hesperiidae,May,1901,Oxfordshire,WG Pogson Smith,,11.766,53.504,2.362,5.164,2,England S,11.565,11.825,GG,Univoltine,,
51,silver spotted skipper,Hesperiidae,August,1901,Surrey,WM Geldart,female,13.803,65.635,3.44,6.088,2,England S,11.565,11.825,SS,Univoltine,,
54,silver spotted skipper,Hesperiidae,,1901,West Sussex,Meldola,female,14.054,76.728,3.534,6.335,2,England S,11.565,11.825,SS,Univoltine,,
57,silver spotted skipper,Hesperiidae,August,1901,Surrey,WM Geldart,male,13.053,55.736,2.241,5.703,2,England S,11.565,11.825,SS,Univoltine,,
58,silver spotted skipper,Hesperiidae,August,1901,Surrey,WM Geldart,female,13.816,70.664,3.17,6.433,2,England S,11.565,11.825,SS,Univoltine,,
61,silver spotted skipper,Hesperiidae,August,1901,Surrey,Nevil V Sidgwick,male,12.204,51.093,2.244,4.647,2,England S,11.565,11.825,SS,Univoltine,,
62,silver spotted skipper,Hesperiidae,August,1901,Surrey,Nevil V Sidgwick,male,13.087,56.306,2.551,4.901,2,England S,11.565,11.825,SS,Univoltine,,
86,grizzled skipper,Hesperiidae,May,1902,Oxfordshire,Nevil V Sidgwick,,12.091,54.146,2.377,4.001,2,England S,11.825,10.995,GG,Univoltine,,
1,silver spotted skipper,Hesperiidae,,1902,Dorset,Meldola,male,11.936,55.164,2.029,5.261,1,England S,11.825,10.995,SS,Univoltine,,
8,silver spotted skipper,Hesperiidae,,1902,Dorset,Meldola,male,12.796,58.819,2.575,5.393,1,England S,11.825,10.995,SS,Univoltine,,
35,small skipper,Hesperiidae,July,1903,Surrey,Meldola,male,12.738,59.459,1.363,5.989,2,England S,10.995,11.11,GS,Univoltine,,
23,silver spotted skipper,Hesperiidae,August,1904,Surrey,Meldola,male,13.275,62.747,2.031,5.243,2,England S,11.11,11.6,SS,Univoltine,,
24,silver spotted skipper,Hesperiidae,August,1904,Surrey,Meldola,male,13.705,66.836,2.255,5.149,2,England S,11.11,11.6,SS,Univoltine,,
30,silver spotted skipper,Hesperiidae,August,1904,Surrey,Meldola,male,13.143,61.251,1.992,6.239,2,England S,11.11,11.6,SS,Univoltine,,
31,silver spotted skipper,Hesperiidae,August,1904,Surrey,Meldola,female,14.285,78.181,3.589,7.309,2,England S,11.11,11.6,SS,Univoltine,,
32,silver spotted skipper,Hesperiidae,August,1904,Surrey,Meldola,female,14.267,78.274,3.457,7.253,2,England S,11.11,11.6,SS,Univoltine,,
33,silver spotted skipper,Hesperiidae,August,1904,Surrey,Meldola,male,12.708,59.059,1.937,5.901,2,England S,11.11,11.6,SS,Univoltine,,
41,silver spotted skipper,Hesperiidae,August,1904,Surrey,Meldola,female,14.966,81.77,3.852,7.536,2,England S,11.11,11.6,SS,Univoltine,,
42,silver spotted skipper,Hesperiidae,August,1904,Surrey,Meldola,female,15.23,80.679,3.29,7.163,2,England S,11.11,11.6,SS,Univoltine,,
59,small skipper,Hesperiidae,July,1904,Oxfordshire,WM Geldart,male,13.649,64.589,1.739,6.579,2,England S,11.11,11.6,GS,Univoltine,,
67,small skipper,Hesperiidae,August,1904,Dorset,CW Hall,female,12.445,58.164,2.368,5.911,1,England S,11.11,11.6,GS,Univoltine,,
21,dingy skipper,Hesperiidae,May,1905,Surrey,,,12.791,63.739,1.91,4.872,2,England S,11.6,11.975,GS,Univoltine,,
36,grizzled skipper,Hesperiidae,May,1905,Devon,GB Longstaff,,12.032,56.425,2.527,5.218,2,England S,11.6,11.975,GG,Univoltine,,
50,grizzled skipper,Hesperiidae,May,1905,Devon,GB Longstaff,,10.134,41.454,1.873,4.491,1,England S,11.6,11.975,GG,Univoltine,,
80,grizzled skipper,Hesperiidae,May,1905,Surrey,Meldola,,10.213,39.946,1.787,4.069,2,England S,11.6,11.975,GG,Univoltine,,
68,small skipper,Hesperiidae,July,1905,Essex,SJ Image,female,13.147,57.359,2.368,5.05,2,England S,11.6,11.975,GS,Univoltine,,
33,dingy skipper,Hesperiidae,May,1906,Buckinghamshire,HRB,,12.226,57.667,2.136,4.897,2,England S,11.975,11.515,GS,Univoltine,,
72,grizzled skipper,Hesperiidae,May,1906,Oxfordshire,WG Pogson Smith,,11.811,56.466,2.213,4.541,2,England S,11.975,11.515,GG,Univoltine,,
52,silver spotted skipper,Hesperiidae,,1906,Surrey,EGR Waters,female,13.382,67.033,3.326,6.54,2,England S,11.975,11.515,SS,Univoltine,,
53,silver spotted skipper,Hesperiidae,,1906,Surrey,EGR Waters,female,15.336,75.873,3.138,6.918,2,England S,11.975,11.515,SS,Univoltine,,
59,silver spotted skipper,Hesperiidae,,1906,Surrey,EGR Waters,male,13.176,56.104,2.552,6.541,2,England S,11.975,11.515,SS,Univoltine,,
60,silver spotted skipper,Hesperiidae,,1906,Surrey,EGR Waters,female,14.341,70.048,2.897,6.45,2,England S,11.975,11.515,SS,Univoltine,,
69,small skipper,Hesperiidae,July,1906,Essex,SJ Image,male,13.251,55.815,1.992,6.628,2,England S,11.975,11.515,GS,Univoltine,,
1,dingy skipper,Hesperiidae,May,1907,Surrey,,,11.411,52.948,2.755,4.613,2,England S,11.515,10.945,GS,Univoltine,,
81,grizzled skipper,Hesperiidae,May,1907,Surrey,HG Champion,,10.824,42.474,2.082,4.459,2,England S,11.515,10.945,GG,Univoltine,,
16,dingy skipper,Hesperiidae,May,1908,Surrey,,,11.623,59.297,1.91,4.855,2,England S,10.945,11.245,GS,Univoltine,,
17,dingy skipper,Hesperiidae,May,1908,Surrey,,,11.478,55.446,1.947,4.716,2,England S,10.945,11.245,GS,Univoltine,,
26,dingy skipper,Hesperiidae,May,1908,Buckinghamshire,HRB,,12.568,62.12,2.186,5.026,2,England S,10.945,11.245,GS,Univoltine,,
13,dingy skipper,Hesperiidae,May,1909,Surrey,,,12.316,58.003,1.876,5.269,2,England S,11.245,10.875,GS,Univoltine,,
22,dingy skipper,Hesperiidae,May,1909,Surrey,,,12.416,60.96,2.048,4.836,2,England S,11.245,10.875,GS,Univoltine,,
23,dingy skipper,Hesperiidae,May,1909,Surrey,,,13.146,63.402,1.928,5.146,2,England S,11.245,10.875,GS,Univoltine,,
33,small skipper,Hesperiidae,July,1909,Surrey,EGR Waters,male,12.745,56.577,2.089,5.617,2,England S,11.245,10.875,GS,Univoltine,,
36,small skipper,Hesperiidae,July,1909,Surrey,HG Champion,male,13.832,64.094,2.189,6.287,2,England S,11.245,10.875,GS,Univoltine,,
41,small skipper,Hesperiidae,July,1909,Surrey,EGR Waters,male,13.925,63.534,2.293,6.816,2,England S,11.245,10.875,GS,Univoltine,,
47,small skipper,Hesperiidae,July,1909,Surrey,HG Champion,male,12.626,60.221,1.817,5.557,2,England S,11.245,10.875,GS,Univoltine,,
28,dingy skipper,Hesperiidae,May,1910,Buckinghamshire,HRB,,12.857,58.967,2.083,5.233,2,England S,10.875,11.4,GS,Univoltine,,
40,grizzled skipper,Hesperiidae,June,1910,Cornwall,FC Woodforde,,11.38,49.76,2.364,4.164,1,England S,10.875,11.4,GG,Univoltine,,
48,grizzled skipper,Hesperiidae,June,1910,Cornwall,FC Woodforde,,10.414,43.517,2.382,4.237,1,England S,10.875,11.4,GG,Univoltine,,
78,grizzled skipper,Hesperiidae,May,1910,Berkshire,EGR Waters,,11.628,49.748,2.197,5.147,2,England S,10.875,11.4,GG,Univoltine,,
2,small skipper,Hesperiidae,July,1910,Cornwall,FC Woodforde,male,13.257,66.759,2.374,7.082,1,England S,10.875,11.4,GS,Univoltine,,
11,small skipper,Hesperiidae,July,1910,Cornwall,FC Woodforde,male,12.262,54.045,2.499,7.123,1,England S,10.875,11.4,GS,Univoltine,,
12,small skipper,Hesperiidae,July,1910,Cornwall,FC Woodforde,male,12.89,63.758,2.374,6.731,1,England S,10.875,11.4,GS,Univoltine,,
21,small skipper,Hesperiidae,July,1910,Cornwall,FC Woodforde,male,14.459,69.046,2.168,6.869,1,England S,10.875,11.4,GS,Univoltine,,
56,grizzled skipper,Hesperiidae,May,1911,Hampshire,FC Woodforde,,10.228,41.621,2.167,4.532,2,England S,11.4,12.755,GG,Univoltine,,
73,grizzled skipper,Hesperiidae,May,1911,Oxfordshire,RJ Champion,,10.878,45.292,2.098,5.18,2,England S,11.4,12.755,GG,Univoltine,,
74,grizzled skipper,Hesperiidae,May,1911,Berkshire,EGR Waters,,10.864,44.687,2.214,4.314,2,England S,11.4,12.755,GG,Univoltine,,
34,silver spotted skipper,Hesperiidae,July,1911,Surrey,RJ Champion,male,14.596,67.783,2.292,6.727,2,England S,11.4,12.755,SS,Univoltine,,
37,silver spotted skipper,Hesperiidae,July,1911,Surrey,RJ Champion,male,12.754,57.627,2.612,6.258,2,England S,11.4,12.755,SS,Univoltine,,
38,silver spotted skipper,Hesperiidae,July,1911,Surrey,RJ Champion,female,14.198,72.499,2.725,5.638,2,England S,11.4,12.755,SS,Univoltine,,
45,silver spotted skipper,Hesperiidae,July,1911,Surrey,RJ Champion,male,12.649,55.575,1.825,5.337,2,England S,11.4,12.755,SS,Univoltine,,
46,silver spotted skipper,Hesperiidae,July,1911,Surrey,RJ Champion,female,15.241,83.636,2.988,6.879,2,England S,11.4,12.755,SS,Univoltine,,
47,silver spotted skipper,Hesperiidae,July,1911,Surrey,RJ Champion,female,14.636,78.966,3.27,6.22,2,England S,11.4,12.755,SS,Univoltine,,
1,small skipper,Hesperiidae,July,1911,Cornwall,FC Woodforde,male,13.504,65.005,2.211,6.319,1,England S,11.4,12.755,GS,Univoltine,,
51,small skipper,Hesperiidae,July,1911,Gloucestershire,EGR Waters,male,12.582,59.748,2.292,6.979,2,England S,11.4,12.755,GS,Univoltine,,
46,small skipper,Hesperiidae,August,1912,Surrey,RJ Champion,female,13.284,67.167,2.623,7.31,2,England S,12.755,11.865,GS,Univoltine,,
38,grizzled skipper,Hesperiidae,May,1913,Hampshire,FC Woodforde,,11.377,48.095,2.218,4.763,2,England S,11.865,11.635,GG,Univoltine,,
53,grizzled skipper,Hesperiidae,May,1913,Hampshire,FC Woodforde,,11.434,44.891,2.29,5.108,2,England S,11.865,11.635,GG,Univoltine,,
54,grizzled skipper,Hesperiidae,May,1913,Hampshire,FC Woodforde,,10.826,45.842,2.293,5.002,2,England S,11.865,11.635,GG,Univoltine,,
4,small skipper,Hesperiidae,July,1913,Somerset,H Doidge,male,13.13,64.011,1.694,5.7,2,England S,11.865,11.635,GS,Univoltine,,
22,small skipper,Hesperiidae,July,1913,Somerset,H Doidge,male,13.053,59.293,1.921,5.926,2,England S,11.865,11.635,GS,Univoltine,,
